12655	30 Jul 15	10:00:00	1	0	0	0	0	0	0	0	3	0	4	0	1	3	2	2	3	3	5	5	1	2	4	3	2	0	4	3	3	3	1	0	2	1	2	2	2	3	1
12656	30 Jul 15	10:01:00	1	0	0	0	0	0	1	0	2	0	1	1	3	3	2	1	1	4	4	4	1	2	6	2	1	0	1	3	4	3	3	1	3	1	0	1	3	3	2
12657	30 Jul 15	10:02:00	1	0	0	0	0	0	1	2	1	2	0	3	4	1	2	2	1	4	3	2	1	4	3	2	1	0	0	1	2	0	0	0	0	0	0	1	1	0	0
12658	30 Jul 15	10:03:00	1	0	0	0	0	0	1	4	0	0	6	3	4	2	0	6	2	1	5	4	2	3	2	0	3	4	0	2	0	0	0	0	0	1	0	2	1	0	0
12659	30 Jul 15	10:04:00	1	0	0	0	0	0	1	1	2	3	8	2	2	1	1	2	7	0	1	8	3	0	4	0	0	4	2	2	2	0	0	0	1	0	0	1	1	0	0
12660	30 Jul 15	10:05:00	1	0	0	0	0	0	1	5	3	4	2	4	4	3	4	3	2	2	6	25	3	0	4	0	4	3	3	2	2	0	2	0	1	0	0	0	2	0	0
12661	30 Jul 15	10:06:00	1	0	0	0	0	0	1	12	4	4	6	6	3	6	4	4	3	4	6	32	3	0	5	0	0	2	2	1	2	1	1	0	1	0	0	1	2	0	0
12662	30 Jul 15	10:07:00	1	0	0	0	0	0	1	3	0	4	4	2	4	3	4	3	3	0	4	8	3	9	4	7	0	3	4	0	2	4	4	0	2	0	1	1	1	0	0
12663	30 Jul 15	10:08:00	1	0	0	0	0	0	1	4	0	2	5	2	5	5	2	3	4	5	5	6	2	5	3	2	3	4	3	1	3	1	3	0	1	3	2	2	2	1	0
12664	30 Jul 15	10:09:00	1	0	0	0	0	0	1	5	0	6	4	6	3	5	7	3	2	2	5	4	5	7	3	4	2	2	4	0	3	1	3	0	1	0	1	3	3	1	0
12665	30 Jul 15	10:10:00	1	0	0	0	0	0	1	2	3	1	2	5	2	8	7	2	4	5	4	4	4	6	4	3	2	5	2	0	3	2	1	0	1	2	1	3	1	0	0
12666	30 Jul 15	10:11:00	1	0	0	0	0	0	1	1	3	1	5	2	3	6	3	3	2	4	5	2	5	4	5	2	3	3	3	0	4	1	2	0	0	2	2	2	3	0	1
12667	30 Jul 15	10:12:00	1	0	0	0	0	0	1	3	5	3	1	2	2	3	3	2	4	4	5	6	5	7	5	3	2	5	2	0	2	3	4	0	2	4	3	4	0	1	1
12668	30 Jul 15	10:13:00	1	0	0	0	0	0	1	4	3	1	4	1	3	7	7	1	4	3	6	5	3	3	4	4	2	3	2	0	3	5	2	0	1	2	2	1	0	1	0
12669	30 Jul 15	10:14:00	1	0	0	0	0	0	1	2	8	2	5	4	3	4	1	1	3	3	4	4	4	5	2	2	1	2	4	0	4	2	4	0	2	1	1	3	1	2	0
12670	30 Jul 15	10:15:00	1	0	0	0	0	0	1	3	6	6	2	2	1	5	2	3	2	7	5	3	3	10	3	3	3	0	2	2	3	2	6	0	4	2	1	2	1	3	1
12671	30 Jul 15	10:16:00	1	0	0	0	0	0	1	2	5	0	1	10	5	3	4	4	0	4	4	6	2	4	3	4	2	4	8	0	3	2	5	0	3	3	1	1	0	2	2
12672	30 Jul 15	10:17:00	1	0	0	0	0	0	1	2	5	6	1	4	5	5	5	3	0	4	4	8	2	3	7	4	2	2	2	0	5	0	1	0	2	2	4	3	2	1	1
12673	30 Jul 15	10:18:00	1	0	0	0	0	0	1	2	3	3	1	2	2	3	8	2	3	2	6	7	3	5	3	3	1	3	2	0	4	2	2	0	1	3	2	2	2	3	1
12674	30 Jul 15	10:19:00	1	0	0	0	0	0	1	1	2	2	1	2	5	2	6	4	3	5	3	3	2	3	5	2	2	3	4	0	4	2	3	0	0	1	2	3	2	1	3
12675	30 Jul 15	10:20:00	1	0	0	0	0	0	1	2	3	1	7	2	2	2	6	10	4	3	4	3	5	4	2	2	3	2	3	0	3	0	2	1	2	2	3	3	1	1	0
12676	30 Jul 15	10:21:00	1	0	0	0	0	0	1	2	6	5	5	3	2	5	3	3	2	3	5	6	4	2	3	4	3	3	2	0	4	1	2	0	2	1	7	3	1	4	2
12677	30 Jul 15	10:22:00	1	0	0	0	0	0	1	0	5	7	2	1	2	2	2	3	3	2	3	4	3	4	3	2	3	3	3	0	5	2	4	2	1	4	2	4	1	2	2
12678	30 Jul 15	10:23:00	1	0	0	0	0	0	1	2	2	0	2	2	2	5	5	5	2	5	4	3	2	2	4	2	2	2	1	0	3	2	2	0	2	2	2	3	2	2	1
12679	30 Jul 15	10:24:00	1	0	0	0	0	0	1	3	3	1	2	5	7	5	3	2	1	4	2	2	3	3	2	5	2	3	4	0	5	0	1	0	2	2	0	3	2	3	2
12680	30 Jul 15	10:25:00	1	0	0	0	0	0	1	2	4	7	3	2	3	4	1	6	4	2	5	2	3	2	9	3	2	2	3	0	2	0	3	0	1	4	1	2	3	3	1
